film_id;year;creator_id;award
936;1976;11082;1
936;1976;11409;1
936;1976;11435;1
936;1976;11761;1
936;1976;11773;1
936;1976;11903;1
936;1976;12031;1
936;1976;12073;1
936;1976;12103;1
936;1976;12123;1
1014;1979;11424;1
1014;1979;11440;1
1014;1979;11528;1
1014;1979;11842;1
1014;1979;11878;1
1014;1979;11980;1
1014;1979;12116;1
1014;1979;12174;1
1075;1983;11196;1
1190;1989;11089;1
1190;1989;11220;1
1190;1989;11393;1
1190;1989;11846;1
1190;1989;11868;1
1190;1989;11886;1
1190;1989;12104;1
1191;1989;11067;1
1195;1989;11198;1
1195;1989;11216;1
1195;1989;11509;1
1195;1989;11868;1
1195;1989;11886;1
1195;1989;12146;1
1197;1989;11426;1
1199;1989;11022;1
1201;1989;11105;1
1201;1989;11772;1
1201;1989;12016;1
1201;1989;12056;1
1201;1989;12079;1
1220;1990;12146;1
1247;1992;11082;1
1247;1992;11093;1
1247;1992;11206;1
1247;1992;11249;1
1247;1992;11376;1
1247;1992;11403;1
1247;1992;11597;1
1247;1992;11842;1
1254;1992;11426;1
1258;1992;11393;1
1264;1993;12116;1
1268;1993;11154;1
1268;1993;11412;1
1268;1993;11568;1
1268;1993;11890;1
1268;1993;12087;1
1270;1993;12116;1
1272;1993;11256;1
1272;1993;11388;1
1272;1993;11411;1
1272;1993;11472;1
1272;1993;11643;1
1272;1993;11692;1
1272;1993;11740;1
1272;1993;11763;1
1272;1993;12085;1
1278;1994;11143;1
1280;1994;11091;1
1281;1994;11426;1
1283;1994;11154;1
1286;1994;11024;1
1286;1994;11140;1
1286;1994;11468;1
1286;1994;11861;1
1287;1994;11105;1
1287;1994;11231;1
1287;1994;11456;1
1287;1994;11730;1
1287;1994;11735;1
1287;1994;11811;1
1287;1994;12104;1
1293;1995;11082;1
1293;1995;11107;1
1293;1995;12148;1
1296;1995;11031;1
1296;1995;11140;1
1296;1995;11154;1
1296;1995;11521;1
1296;1995;11745;1
1296;1995;11784;1
1296;1995;11861;1
1296;1995;11932;1
1300;1995;11082;1
1300;1995;11810;1
1300;1995;11858;1
1300;1995;11942;1
1300;1995;12066;1
1302;1995;11154;1
1302;1995;11224;1
1302;1995;11388;1
1302;1995;11528;1
1312;1996;11040;1
1313;1996;11214;1
1313;1996;11356;1
1313;1996;11368;1
1313;1996;11680;1
1313;1996;11722;1
1313;1996;11842;1
1319;1997;11297;1
1319;1997;11368;1
1319;1997;11468;1
1319;1997;11588;1
1319;1997;12150;1
1320;1997;11117;1
1320;1997;11620;1
1320;1997;11655;1
1320;1997;11745;1
1320;1997;11842;1
1320;1997;11963;1
1320;1997;12104;1
1326;1997;11315;1
1326;1997;11376;1
1329;1997;12116;1
1336;1998;11082;1
1336;1998;11105;1
1336;1998;11206;1
1336;1998;11381;1
1336;1998;11456;1
1336;1998;11611;1
1336;1998;11620;1
1336;1998;11745;1
1336;1998;11772;1
1336;1998;11902;1
1336;1998;11913;1
1336;1998;12056;1
1336;1998;12116;1
1345;1998;11062;1
1345;1998;11246;1
1345;1998;11352;1
1345;1998;11821;1
1353;1999;11193;1
1363;1999;11375;1
1372;1999;11091;1
1372;1999;12116;1
1380;2000;11155;1
1380;2000;11208;1
1380;2000;11589;1
1380;2000;11593;1
1380;2000;11594;1
1380;2000;11632;1
1380;2000;11702;1
1380;2000;11712;1
1380;2000;11890;1
1382;2000;12117;1
1385;2000;11454;1
1389;2000;11191;1
1389;2000;11206;1
1389;2000;11344;1
1389;2000;11610;1
1389;2000;11727;1
1390;2000;11115;1
1390;2000;11637;1
1390;2000;11815;1
1390;2000;11861;1
1390;2000;11904;1
1390;2000;12154;1
1394;2000;11160;1
1394;2000;11388;1
1394;2000;11474;1
1394;2000;11542;1
1394;2000;11854;1
1394;2000;12041;1
1396;2000;11286;1
1396;2000;11339;1
1396;2000;11511;1
1396;2000;11756;1
1396;2000;12100;1
1404;2000;11231;1
1404;2000;11309;1
1404;2000;11456;1
1404;2000;11583;1
1404;2000;11694;1
1404;2000;11714;1
1404;2000;11730;1
1404;2000;11811;1
1404;2000;12056;1
1404;2000;12090;1
1404;2000;12104;1
1404;2000;12132;1
1404;2000;12160;1
1404;2000;12177;1
1406;2001;11107;1
1406;2001;11388;1
1406;2001;11603;1
1406;2001;11633;1
1406;2001;11719;1
1406;2001;11842;1
1406;2001;12041;1
1406;2001;12042;1
1406;2001;12072;1
1406;2001;12073;1
1409;2001;11062;1
1409;2001;11148;1
1409;2001;11332;1
1409;2001;11352;1
1410;2001;11010;1
1415;2001;11388;1
1415;2001;11475;1
1415;2001;11756;1
1415;2001;12049;1
1420;2001;11393;1
1425;2001;11385;1
1426;2002;11568;1
1427;2002;11465;1
1427;2002;11480;1
1427;2002;11568;1
1427;2002;11760;1
1427;2002;11988;1
1427;2002;12163;1
1429;2002;11102;1
1429;2002;11376;1
1429;2002;11622;1
1429;2002;11702;1
1429;2002;11756;1
1432;2002;12104;1
1433;2002;11269;1
1433;2002;11276;1
1437;2002;11145;1
1439;2002;11020;1
1439;2002;11344;1
1439;2002;11351;1
1439;2002;11545;1
1439;2002;11863;1
1442;2002;11201;1
1442;2002;12104;1
1445;2002;11112;1
1451;2002;11143;1
1456;2002;11140;1
1456;2002;11154;1
1456;2002;11206;1
1456;2002;11512;1
1456;2002;11531;1
1456;2002;11842;1
1460;2003;11025;1
1460;2003;11248;1
1460;2003;11286;1
1460;2003;11301;1
1460;2003;11339;1
1460;2003;11344;1
1460;2003;11351;1
1460;2003;11367;1
1460;2003;11379;1
1460;2003;11457;1
1460;2003;11475;1
1460;2003;11487;1
1460;2003;11511;1
1460;2003;11542;1
1460;2003;11751;1
1460;2003;11755;1
1460;2003;11844;1
1460;2003;11892;1
1460;2003;12041;1
1460;2003;12049;1
1460;2003;12063;1
1461;2003;11658;1
1463;2003;11422;1
1465;2003;11160;1
1465;2003;11368;1
1465;2003;11854;1
1467;2004;11112;1
1467;2004;11658;1
1469;2004;11117;1
1469;2004;11655;1
1469;2004;11842;1
1469;2004;11963;1
1469;2004;12104;1
1470;2004;11041;1
1472;2004;11343;1
1472;2004;11475;1
1472;2004;11637;1
1472;2004;11756;1
1472;2004;12049;1
1473;2004;11186;1
1473;2004;11467;1
1473;2004;11591;1
1473;2004;11744;1
1473;2004;11935;1
1473;2004;12170;1
1475;2004;11579;1
1478;2004;11414;1
1478;2004;11448;1
1478;2004;11468;1
1478;2004;12031;1
1484;2005;11579;1
1485;2005;11278;1
1485;2005;11392;1
1485;2005;11454;1
1485;2005;11655;1
1485;2005;11734;1
1485;2005;11884;1
1485;2005;12117;1
1489;2005;12041;1
1489;2005;12117;1
1490;2005;11159;1
1493;2005;11068;1
1493;2005;11139;1
1493;2005;11172;1
1495;2005;11154;1
1495;2005;11326;1
1495;2005;11448;1
1499;2005;11344;1
1499;2005;11490;1
1499;2005;11644;1
1499;2005;11675;1
1499;2005;11835;1
1506;2006;11992;1
1508;2006;11160;1
1508;2006;11358;1
1508;2006;11520;1
1508;2006;11629;1
1508;2006;11675;1
1508;2006;11884;1
1509;2006;12063;1
1509;2006;12072;1
1509;2006;12116;1
1515;2006;11022;1
1515;2006;11068;1
1515;2006;11139;1
1515;2006;11158;1
1515;2006;11482;1
1515;2006;11631;1
1515;2006;11726;1
1515;2006;11839;1
1515;2006;11944;1
1515;2006;12055;1
1515;2006;12179;1
1519;2006;11222;1
1519;2006;11363;1
1519;2006;11681;1
1519;2006;11838;1
1519;2006;12043;1
1522;2006;11255;1
1522;2006;11652;1
1522;2006;11659;1
1522;2006;11834;1
1522;2006;11989;1
1522;2006;12054;1
1522;2006;12150;1
1522;2006;12165;1
1530;2006;11440;1
1530;2006;12116;1
1531;2006;11771;1
1535;2007;11118;1
1535;2007;11316;1
1535;2007;11710;1
1535;2007;11896;1
1535;2007;12117;1
1536;2007;11026;1
1536;2007;11685;1
1536;2007;11701;1
1538;2007;11029;1
1538;2007;11154;1
1538;2007;11553;1
1538;2007;11771;1
1539;2007;11109;1
1539;2007;11240;1
1539;2007;11376;1
1539;2007;11430;1
1539;2007;11664;1
1539;2007;11859;1
1539;2007;12108;1
1543;2007;11712;1
1546;2007;11985;1
1550;2007;11112;1
1550;2007;11344;1
1556;2007;11344;1
1561;2008;11461;1
1561;2008;11652;1
1561;2008;11658;1
1561;2008;11659;1
1561;2008;11756;1
1561;2008;11964;1
1564;2008;11376;1
1565;2008;11137;1
1565;2008;11681;1
1565;2008;11844;1
1565;2008;12063;1
1566;2008;11038;1
1566;2008;11286;1
1566;2008;11339;1
1566;2008;11534;1
1566;2008;11648;1
1566;2008;11816;1
1566;2008;11897;1
1566;2008;12041;1
1570;2008;11139;1
1571;2008;11170;1
1576;2008;11173;1
1581;2009;11408;1
1582;2009;11836;1
1582;2009;12162;1
1584;2009;11407;1
1584;2009;11555;1
1591;2009;11159;1
1592;2009;11298;1
1592;2009;11535;1
1592;2009;11793;1
1592;2009;11844;1
1592;2009;12063;1